Ein Lied für Nour;Ya tayr el tayer;2015;98:00 (mm:ss);Hany Abu-Assad;Tawfeek Barhom (Mohammed Assaf), Ahmed Al Rokh, Hiba Attalah, Kais Attalah (Mohammed Assaf younger), Abdel Kareem Barakeh, Eyad Hourani (Ali), Nadine Labaki, Ahmad Qasem,Saber Shreim
Einer von uns;Einer von uns;2015;85:00 (mm:ss);Stephan Richter;Jack Hofer (Julian), Simon Morzé (Marko), Christopher Schärf (Victor), Dominik Marcus Singer (Michael), Markus Schleinzer (Joseph), Andreas Lust (Polizist), Rainer Wöss (Polizist)
Elliot, der Drache (3D);Pete´s Dragon;2015;102:00 (mm:ss);David Lowery;Bryce Dallas Howard (Elliot, der Drache), Robert Redford (Mr. Meacham), Oakes Fegley (Pete), Oona Laurence (Natalie), Wes Bentley (Jack), Karl Urban (Gavin), Isiah Whitlock Jr. (Sheriff Dentler), Bryce Dallas Howard (Grace), Esmée Myers (Pete´s Mom), Gareth Reeves (Pete´s Dad)
Freeheld - Jede Liebe ist gleich;Freeheld;2015;104:00 (mm:ss);Peter Sollett;Julianne Moore (Laurel Hester), Ellen Page (Stacie Andree), Michael Shannon (Dane Wells), Steve Carell (Steven Goldstein), Josh Charles (Bryan Kelder), Luke Grimes (Todd Belkin), Mary Birdsong (Carol Andree), Dennis Boutsikaris (Pat Gerry), Skipp Sudduth (Reynolds), Gabriel Luna (Quesada)
Freistatt;Freistatt;2015;108:00 (mm:ss);Marc Brummund;Louis Hofmann (Wolfgang), Alexander Held (Hausvater Brockmann), Stephan Grossmann (Bruder Wilde), Katharina Lorenz (Ingrid), Max Riemelt (Bruder Krapp), Uwe Bohm (Heinz), Enno Trebs (Bernd), Langston Uibel (Anton)
Heidi;Heidi;2015;110:00 (mm:ss);Alain Gsponer;Anuk Steffen (Heidi), Bruno Ganz (Almöhi), Quirin Agrippi (Geissenpeter), Isabelle Ottmann (Klara), Katharina Schüttler (Fräulein Rottenmeier), Anna Schinz (Dete), Hannelore Hoger (Großmama Sesemann), Jella Haase (Tinette), Peter Lohmeyer (Sebastian), Maxim Mehmet (Herr Sesemann)
Irrational Man;Irrational Man;2015;94:00 (mm:ss);Woody Allen;Joaquin Phoenix (Abe), Emma Stone (Jill), Jamie Blackley (Roy), Parker Posey (Rita), Ethan Phillips (Dad), Meredith Hagner (Sandy), Ben Rosenfield (Danny), David Aaron Baker (Biff), Julie Ann Dawson (Studentin), Susan Pourfar (Carol)
Kiss the Cook;Chef;2014;115:00 (mm:ss);Jon Favreau;Jon Favreau (Carl Casper), John Leguizamo (Martin), Bobby Cannavale (Tony), Emjay Anthony (Percy), Scarlett Johansson (Molly), Dustin Hoffman (Riva), Sofia Vergara (Inez), Oliver Platt (Ramsey Michel), Amy Sedaris (Jen), Robert Downey Jr. (Marvin)
Kubo - Der tapfere Samurai (3D);Kubo and the two strings;2015;102:00 (mm:ss);Travis Knight;Sprecher/innen D: Ben Hadad (Kubo), Nana Spier (Monkey), Benjamin Völz (Beetle), Joachim Tennstedt (Moon King), Katrin Fröhlich (Die Schwestern), Wolfgang Condrus (Hosato), Luise Lunow (Kameyo), Claude Albert Heinrich (Mari), Stefan Bräuler (Hashi)
Liebe auf den ersten Schlag;Les Combattants;2014;98:00 (mm:ss);Thomas Cailley;Adèle Haenel (Madeleine Beaulieu), Kévin Azais (Arnaud Labrède), Antoine Laurent (Manu Labrède), Brigitte Rouan (Hélène Labrède), William Lebghil (Xavier), Thibaut Berducat (Victor), Nicolas Wancycki (Lieutenant Schlieffer), Fr´déric Pellegeay (Le recruteur), Steve Tientchau (Adjudant Ruiz), Franc Bruneau (Le conseiller funéraire)
Love & Mercy;Love & Mercy;2014;121:00 (mm:ss);Bill Pohlad;Paul Dano (Brian Wilson (jung)), Elizabeth Banks (Melinda Ledbetter), John Cusack (Brian Wilson (älter)),  Paul Giamatti (Dr. Eugene Landy ), Jake Abel (Mike Love), Joanna Going (Audree Wilson), Kenny Wormald (Dennis Wilson), Dee Wallace (Rosemary), Brett Davern (Carl Wilson), Max Schneider (Van Dyke Parks)
Macbeth;Macbeth;2015;113:00 (mm:ss);Justin Kurzel;Michael Fassbender (Macbeth), Marion Cotillard (Lady Macbeth), Jack Reynor (Malcolm), David Thewlis (Duncan), Elizabeth Debicki (Lady Macduff), Sean Harris (Macduff), Hilton McRae (Macdonwald), Paddy Considine (Banquo), David Hayman (Lennox), Maurice Roeves (Menteth)
Maggie´s Plan;Maggie´s Plan;2015;99:00 (mm:ss);Rebecca Miller;Greta Gerwig (Maggie), Julianne Moore (Georgette), Ethan Hawke (John), Bill Hader (Tony), Travis Fimmel (Guy), Maya Rudolph (Felicia), Wallace Shawn (Kliegler), Mina Sundwall (Justine), Jackson Frazer (Paul), Monte Greene (Max)
Maikäfer flieg;Maikäfer flieg;2015;109:00 (mm:ss);Mirjam Unger;Zita Gaier, Ursula Strauss, Gerald Votava, Paula Brunner, Lino Gaier, Krista Stadler, Heinz Marecek, Markus Schwärzer, Konstantin Khabensky, Bettina Mittendorfer, Hilde Dalik,  Ivan Shvedoff, Ingrid Burkhard
Margos Spuren;Paper Towns;2015;109:00 (mm:ss);Jake Schreier;Cara Delevingne (Margo Roth Spiegelman), Nat Wolff (Quentin Jacobsen), Halston Sage (Lacey Pemberton), Caitlin Carver (Becca Arrington), Austin Abrams (Ben Starling), Hannah Alligood (Young Margo), Griffin Freeman (Jase), Jaz Sinclair (Angela), Meg Crosbie (Ruthie), Justice Smith (Radar)
Money Monster;Money Monster;2015;99:00 (mm:ss);Jodie Foster;George Clooney (Lee Gates), Julia Roberts (Patty Fenn), Chris Bauer (Lt. Nelson)
Robinson Crusoe (3D);Robinson Crusoe;2015;90:00 (mm:ss);Ben Stassen;Animation - Sprecher/inne D: Matthias Schweighöfer (Robinson Crusoe), Kaya Yanar (Dienstag), Cindy aus Marzahn (Rosie), Dieter Hallervorden (Zottel), Aylin Tezel (Epi)
Schellen-Ursli;Schellen-Ursli;2015;104:00 (mm:ss);Xavier Koller;Jonas Hartmann (Ursli), Peter Jecklin (Lehrer), Julia Jeker (Seraina), Herbert Leiser (Giacomin), Sarah Sophia Meyer (Annina), Laurin Michael (Roman), Leonardo Nigro (Armon), Martina Rapold (Paul), Rene Schnoz (Gian), Marcus Signer (Linard)
